entso_unit_id,platts_unit_id,gppd_plant_id
11WD2ING3000058X,1121340,
11WD2ING3000058X,1121341,
11WD7HERN2S--4-X,1119202,WRI1005904
11WD7HERN2S--4-X,1119203,WRI1005904
11WD7HERN2S--4-X,1119204,WRI1005904
11WD7HERN2S--4-X,1119205,WRI1005904
11WD7HERN2S--4-X,1194960,WRI1005904
11WD7WSFN1S--E-Z,1157248,WRI1006141
11WD7WSFN1S--E-Z,1157249,WRI1006141
11WD7WSFN1S--E-Z,1157250,WRI1006141
11WD7WSFN1S--E-Z,1160107,WRI1006141
11WD7WSFN1S--E-Z,1194958,WRI1006141
16WSINES3------0,1148458,WRI1023227
16WSINES3------0,1148459,WRI1023227
16WSINES3------0,1148460,WRI1023227
16WSINES3------0,1148461,WRI1023227
16WSINES3------0,1200489,WRI1023227
19W000000000178Q,1144411,WRI1019033
19W000000000178Q,1144412,WRI1019033
19W000000000178Q,1144413,WRI1019033
19W000000000178Q,1144414,WRI1019033
19W000000000178Q,1144415,WRI1019033
19W000000000178Q,1144416,WRI1019033
19W000000000178Q,1144417,WRI1019033
19W000000000178Q,1144418,WRI1019033
19W000000000178Q,1214348,WRI1019033
26WUUUUCASSANO1K,1108639,
26WUUUUCASSANO1K,1108640,
44W-T-YT-100001J,1118495,WRI1002325
44W-T-YT-100001J,1118496,WRI1002325
44W-T-YT-100001J,1118497,WRI1002325
44W-T-YT-100001J,1118498,WRI1002325
49W000000000030A,1130353,WRI1019295
49W000000000030A,1130353,WRI1019296
49W000000000030A,1130354,WRI1019295
49W000000000030A,1130354,WRI1019296
49W000000000030A,1195215,WRI1019295
49W000000000030A,1195215,WRI1019296
49W0000000000326,1130353,WRI1019295
49W0000000000326,1130353,WRI1019296
49W0000000000326,1130354,WRI1019295
49W0000000000326,1130354,WRI1019296
49W0000000000326,1195215,WRI1019295
49W0000000000326,1195215,WRI1019296
